@relation AlgoSelection-TestSet-weka.filters.unsupervised.attribute.Remove-R41-48

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_tr_vs_tr-x1 numeric
@attribute SF_Entropy_tr_vs_te numeric
@attribute SF_Entropy_tr_vs_te-x1 numeric
@attribute SF_Entropy_tr-x1_vs_te numeric
@attribute SF_Entropy_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_StDev numeric
@attribute SF_Entropy_Range numeric
@attribute SF_Entropy_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Information_tr_vs_tr-x1 numeric
@attribute KB_Information_tr_vs_te numeric
@attribute KB_Information_tr_vs_te-x1 numeric
@attribute KB_Information_tr-x1_vs_te numeric
@attribute KB_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Information_StDev numeric
@attribute KB_Information_Range numeric
@attribute KB_Information_Avg numeric
@attribute KB_Mean_Information_tr_vs_tr-x1 numeric
@attribute KB_Mean_Information_tr_vs_te numeric
@attribute KB_Mean_Information_tr_vs_te-x1 numeric
@attribute KB_Mean_Information_tr-x1_vs_te numeric
@attribute KB_Mean_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Mean_Information_StDev numeric
@attribute KB_Mean_Information_Range numeric
@attribute KB_Mean_Information_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,0,33294,33294,33294,33294,19222.29986,33294,30609,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,25,18,25,-7,0,11.803954,25,8,0.221239,0.009118,0.221239,-0.212121,0,0.125156,0.221239,0.10834,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
0.01137,0.457454,0.407523,0.446085,0.396154,0.247301,0.457454,0.092283,3.461538,10.869915,23.269231,7.408377,19.807692,10.297921,23.269231,59.061367,-0.002604,0.398072,0.368727,0.400676,0.371331,0.222433,0.400676,0.53955,0.034615,0.108699,0.232692,0.074084,0.198077,0.102979,0.232692,0.590614,-0.004496,0.153566,0.285877,0.158062,0.290374,0.139085,0.290374,0.589243,40.064791,238.997037,302.895232,198.932246,262.83044,148.101078,302.895232,315.271799,39.935209,90.002963,113.104769,50.067754,73.16956,50.729923,113.104769,-1.521799,41.287499,112.266808,138.280763,70.979309,96.993264,63.608532,138.280763,57.155303,0.048341,0.156778,0.328745,0.108437,0.280404,0.145759,0.328745,0.116753,4128.749908,11226.68083,13828.07628,7097.930926,9699.326375,6360.853231,13828.07628,5715.530286,0.014836,0.21621,0.258667,0.201373,0.243831,0.134065,0.258667,0.518159,Bad
-0.009381,0.123242,0.080371,0.132623,0.089752,0.064043,0.132623,0.112894,0.944499,7.737914,5.432112,6.793415,4.487613,3.672886,7.737914,55.957535,-0.005048,0.046211,0.024191,0.051259,0.029239,0.023653,0.051259,0.643718,0.009445,0.077379,0.054321,0.067934,0.044876,0.036729,0.077379,0.559575,-0.018559,-0.001974,0.093133,0.016586,0.111692,0.050677,0.111692,0.615523,15.992831,357.384913,429.908101,341.392083,413.91527,224.70995,429.908101,301.168323,10.007169,5.615087,2.091899,-4.392083,-7.91527,4.381813,10.007169,-0.418323,10.394151,51.387607,53.885795,40.993455,43.491644,27.734802,53.885795,32.20923,0.015111,0.052701,0.02296,0.03759,0.007849,0.022159,0.052701,0.098109,1039.415141,5138.760678,5388.579492,4099.345537,4349.164351,2773.480183,5388.579492,3220.923016,0.00259,0.048338,-0.003631,0.045748,-0.006221,0.024476,0.05197,0.525085,Bad
0,0,0,0,0,0,0,0,2.678571,-0.892857,2.678571,-3.571429,0,1.840672,3.571429,51.5625,0.017474,0.009748,-0.026149,-0.007726,-0.043624,0.019008,0.043624,0.512044,0.026786,-0.008929,0.026786,-0.035714,0,0.018407,0.035714,0.515625,0.027503,-0.009487,0.027503,-0.03699,0,0.019016,0.03699,0.266123,5.08853,83.942717,85.645268,78.854188,80.556739,47.537402,85.645268,68.209834,0.91147,0.057283,0.354732,-0.854188,-0.556739,0.41713,0.91147,-0.209834,0.91147,0.651315,0.948764,-0.260156,0.037293,0.439004,0.948764,0.325462,0.008117,-0.002275,0.008336,-0.010392,0.000219,0.005486,0.010611,0.004968,91.14705,65.13146,94.876361,-26.01559,3.729311,43.900354,94.876361,32.546209,0.011696,-0.003808,0.011696,-0.015504,0,0.008004,0.015504,0.340133,Bad
0,0,0,0,0,0,0,0,7.692308,-15.082561,7.692308,-22.774869,0,10.736294,22.774869,57.616794,0,0,0,0,0,0,0,0.5,0.076923,-0.150826,0.076923,-0.227749,0,0.107363,0.227749,0.576168,0.08284,-0.196778,0.08284,-0.279618,0,0.131915,0.279618,0.340615,0,180432,180432,180432,180432,104172.4638,180432,146064,80,-180103,-180016,-180183,-180096,103980.506,180183,-145750.25,80,-7,80,-87,0,48.293374,87,41.75,0.153846,-0.301651,0.153846,-0.455497,0,0.214726,0.455497,0.152336,8000,-700,8000,-8700,0,4829.337429,8700,4175,0.03252,-0.055358,0.03252,-0.087879,0,0.041458,0.087879,0.363433,Bad
0.003125,0.176489,0.145433,0.173364,0.142308,0.092907,0.176489,0.121863,0.769231,0.036246,7.884615,-0.732984,7.115385,3.824516,7.884615,58.596708,0.002424,0.088866,0.073578,0.086442,0.071154,0.046624,0.088866,0.561207,0.007692,0.000362,0.078846,-0.00733,0.071154,0.038245,0.078846,0.585967,0.010884,-0.003019,0.075428,-0.013903,0.064545,0.03689,0.078448,0.590467,30072,138546,166470,108474,136398,81118.40782,166470,135324,-29992,-138217,-166054,-108225,-136062,80920.6438,166054,-135010.25,24,71,106,47,82,47.443826,106,61.75,0.015385,0.000725,0.157692,-0.01466,0.142308,0.07649,0.157692,0.171934,2400,7100,10600,4700,8200,4744.382643,10600,6175,0.001674,0.0881,0.096651,0.086426,0.094977,0.052969,0.096651,0.554663,Bad
0.013163,0.461819,0.486847,0.448657,0.473684,0.270303,0.486847,0.088495,-1.820302,27.127066,21.863908,28.947368,23.684211,14.843109,28.947368,52.176503,0.025683,0.266911,0.262525,0.241228,0.236842,0.14581,0.266911,0.544798,-0.018203,0.271271,0.218639,0.289474,0.236842,0.148431,0.289474,0.521765,0.029334,0.278734,0.326235,0.2494,0.296902,0.167728,0.326235,0.58196,47256,84846,129954,37590,82698,55231.87058,129954,135324,-47155,-84498,-129549,-37343,-82394,55044.91569,129549,-135018.5,13,190,163,177,150,98.909049,190,53.5,-0.036406,0.542541,0.437278,0.578947,0.473684,0.296862,0.578947,0.04353,1300,19000,16300,17700,15000,9890.904913,19000,5350,0.001729,0.268184,0.227164,0.266455,0.225435,0.143478,0.268184,0.512314,Bad
0.021971,0.480917,0.416115,0.458946,0.394144,0.254148,0.480917,0.375554,1.070487,29.188203,20.777695,28.117716,19.707207,14.533084,29.188203,67.478058,0.019121,0.233799,0.208388,0.214678,0.189267,0.122817,0.233799,0.757049,0.010705,0.291882,0.207777,0.281177,0.197072,0.145331,0.291882,0.674781,0.012892,0.105949,0.199352,0.093057,0.18646,0.092774,0.199352,0.725518,-1079.481174,-23436.65319,-5122.013325,-22357.17202,-4042.532151,10909.81306,23436.65319,7726.021904,1105.481174,23799.65319,5554.013325,22694.17202,4448.532151,11053.6981,23799.65319,-7425.271904,19.271978,231.491124,221.271367,212.219146,201.999389,125.454417,231.491124,116.836709,0.01501,0.440665,0.280689,0.425655,0.265679,0.214196,0.440665,0.28003,1927.197791,23149.11241,22127.13668,21221.91461,20199.93889,12545.44173,23149.11241,11683.67088,0.010768,0.298872,0.218698,0.288104,0.20793,0.149982,0.298872,0.67026,Bad
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,0,33294,33294,33294,33294,19222.29986,33294,30609,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,25,18,25,-7,0,11.803954,25,8,0.221239,0.009118,0.221239,-0.212121,0,0.125156,0.221239,0.10834,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
0.048791,0.724636,0.710407,0.675845,0.661616,0.400714,0.724636,-0.024188,5.759693,29.279372,38.840501,23.51968,33.080808,18.569623,38.840501,52.188791,0.020999,0.399182,0.391255,0.378183,0.370256,0.222306,0.399182,0.548933,0.057597,0.292794,0.388405,0.235197,0.330808,0.185696,0.388405,0.521888,0.029397,0.287447,0.463757,0.258051,0.434361,0.220776,0.463757,0.509783,50.396765,236.54442,286.442039,186.147655,236.045275,139.463326,286.442039,300.976435,54.603235,119.45558,126.557961,64.852345,71.954725,59.653038,126.557961,-18.476435,55.493576,128.195603,140.487891,72.702027,84.994315,65.771838,140.487891,45.199388,0.073322,0.265445,0.41385,0.192124,0.340528,0.187529,0.41385,0.063829,5549.357615,12819.56031,14048.78908,7270.202697,8499.431467,6577.183776,14048.78908,4519.938811,0.031143,0.355311,0.402948,0.324168,0.371804,0.211182,0.402948,0.46899,Bad
