@relation 'AlgoSelection-TestSet-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R41-48,57-63-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R49-56-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.instance.RemovePercentage-P50.0'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0.020766,0.075033,0.060276,0.054267,0.03951,0.034663,0.075033,0.213565,4.178322,-2.817157,6.153846,-6.995478,1.975524,4.047457,8.971003,63.890478,0.005757,0.127068,0.092759,0.121311,0.087002,0.063408,0.127068,0.622346,0.041783,-0.028172,0.061538,-0.069955,0.019755,0.040475,0.08971,0.638905,0.007344,-0.011738,0.040656,-0.019083,0.033312,0.022479,0.052394,0.653771,28.456671,36.541716,56.955399,8.085045,28.498728,23.599542,56.955399,-1.670768,3033.663319,6799.549084,8988.460527,3765.885766,5954.797208,3986.040665,8988.460527,5115.345556,0.020102,0.021662,0.036468,0.00156,0.016366,0.01498,0.036468,0.590348,Bad
-0.000948,0.244806,0.178332,0.245754,0.179279,0.125395,0.245754,0.126838,0.981555,2.508361,9.945519,1.526807,8.963964,4.510763,9.945519,59.289363,-0.003195,0.192935,0.147371,0.19613,0.150566,0.100898,0.19613,0.616051,0.009816,0.025084,0.099455,0.015268,0.08964,0.045108,0.099455,0.592894,-0.006624,0.040893,0.11582,0.047518,0.122445,0.05627,0.122445,0.615004,4.791276,52.831367,51.973432,48.04009,47.182156,28.939721,52.831367,20.100639,732.711834,7931.922075,8376.52411,7199.210241,7643.812276,4509.920322,8376.52411,4154.479145,0.003811,0.099559,0.09942,0.095749,0.095609,0.056362,0.099559,0.542368,Bad
0.015541,0.367717,0.355751,0.352175,0.34021,0.204518,0.367717,0.267153,2.22028,19.06464,19.230769,16.84436,17.01049,10.453586,19.230769,63.909539,0.002858,0.135765,0.146038,0.132906,0.14318,0.080642,0.146038,0.684895,0.022203,0.190646,0.192308,0.168444,0.170105,0.104536,0.192308,0.639095,0.005815,0.097035,0.193435,0.09122,0.18762,0.091142,0.193435,0.667458,32.451207,108.757168,108.568004,76.305961,76.116796,54.988344,108.757168,36.960382,3584.44904,13395.43928,14475.20204,9810.990239,10890.753,7175.46433,14475.20204,7665.613188,0.010517,0.202643,0.175324,0.192125,0.164807,0.106745,0.202643,0.626238,Bad
-0.035515,0.267229,0.268681,0.302744,0.304196,0.165593,0.304196,0.066659,1.468222,20.407616,16.678012,18.939394,15.20979,10.411255,20.407616,53.193396,-0.019576,0.09774,0.150699,0.117316,0.170274,0.08073,0.170274,0.513601,0.014682,0.204076,0.16678,0.189394,0.152098,0.104113,0.204076,0.531934,-0.01308,0.144044,0.160356,0.157123,0.173436,0.092045,0.173436,0.545043,-2.050301,8.301191,4.338769,10.351493,6.389071,4.615308,10.351493,-12.60378,409.146477,1665.172134,1519.622186,1256.025658,1110.47571,820.639599,1665.172134,334.182429,-0.006763,0.171545,0.14518,0.178308,0.151943,0.094041,0.178308,0.516174,Bad
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
0.021012,0.323589,0.375907,0.302577,0.354895,0.197209,0.375907,0.022703,5.909091,1.125654,23.653846,-4.783436,17.744755,10.958125,23.653846,57.327852,0.012197,0.231183,0.229592,0.218986,0.217395,0.129591,0.231183,0.563272,0.059091,0.011257,0.236538,-0.047834,0.177448,0.109581,0.236538,0.573279,0.003823,0.182271,0.419707,0.178447,0.415883,0.198025,0.419707,0.570454,33.116114,139.125271,119.628831,106.009156,86.512717,66.998805,139.125271,5.374925,3336.582069,7883.729452,10082.8352,4547.147383,6746.253133,4527.454053,10082.8352,4517.677435,0.027993,0.133337,0.231602,0.105345,0.203609,0.105835,0.231602,0.450851,Bad
0,0,0,0,0,0,0,0,11.061947,0.455886,11.061947,-10.606061,0,6.257783,11.061947,55.417002,0,0,0,0,0,0,0,0.5,0.110619,0.004559,0.110619,-0.106061,0,0.062578,0.110619,0.55417,0.122856,0.005547,0.122856,-0.117309,0,0.069367,0.122856,0.310041,25,-33214,-33207,-33239,-33232,19181.31092,33239,-30544,2500,1800,2500,-700,0,1180.395414,2500,800,0.045788,0.001762,0.045788,-0.044025,0,0.025937,0.045788,0.355787,Bad
0.015544,-0.057014,-0.040517,-0.072558,-0.056061,0.033928,0.072558,0.252707,2.476019,-2.648094,-0.327011,-5.124113,-2.80303,2.096643,5.124113,63.434124,-0.013583,-0.106133,-0.079935,-0.092551,-0.066352,0.051229,0.106133,0.691052,0.02476,-0.026481,-0.00327,-0.051241,-0.02803,0.020966,0.051241,0.634341,0.010027,-0.109091,-0.101351,-0.119118,-0.111377,0.063853,0.119118,0.67792,3.028835,2.688159,4.646538,-0.340676,1.617704,1.926972,4.646538,5.501715,329.361501,764.499359,960.337217,435.137858,630.975716,432.147121,960.337217,945.969971,0.012248,0.004226,0.017157,-0.008022,0.00491,0.007735,0.017157,0.604152,Good
0.051594,0.024727,-0.097007,-0.026867,-0.148601,0.064748,0.148601,0.215857,9.302092,6.650577,1.872022,-2.651515,-7.43007,4.275264,9.302092,62.800465,0.011221,-0.109225,-0.165734,-0.120447,-0.176955,0.085896,0.176955,0.622094,0.093021,0.066506,0.01872,-0.026515,-0.074301,0.042753,0.093021,0.628005,0.044584,0.09089,0.040032,0.046306,-0.004551,0.037196,0.09089,0.658656,24.852195,-169.207615,-167.872531,-194.05981,-192.724726,104.973746,194.05981,-125.725589,2485.217793,2955.05639,3128.948441,469.838597,643.730647,1453.855793,3128.948441,1467.888853,0.045995,-0.026621,-0.083204,-0.072616,-0.129199,0.05394,0.129199,0.581929,Bad
0,1.239583,1.153846,1.239583,1.153846,0.69181,1.239583,0.401643,0,60.714286,57.692308,60.714286,57.692308,34.203297,60.714286,70.398352,0,0.617949,0.576923,0.617949,0.576923,0.345336,0.617949,0.701282,0,0.607143,0.576923,0.607143,0.576923,0.342033,0.607143,0.703984,0,0.622619,0.590278,0.622619,0.590278,0.350382,0.622619,0.696776,6,18342,16196,18336,16190,10006.95478,18342,-8524,600,11800,11600,11200,11000,6586.855598,11800,5200,0,0.627141,0.599078,0.627141,0.599078,0.354164,0.627141,0.693445,Bad
