@relation 'AlgoSelection-TrainSet (1)-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.lazy.IBk -K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-C-1-F0-T0.1-I0-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R57-64-weka.filters.unsupervised.attribute.Remove-R49-56-weka.filters.supervised.instance.SMOTE-C1-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0.029972,0.77594,0.835528,0.745968,0.805556,0.45735,0.835528,0.084259,3.813585,27.390736,44.091363,23.577151,40.277778,20.748366,44.091363,58.221987,0.017098,0.421467,0.467116,0.404369,0.450018,0.252362,0.467116,0.566109,0.038136,0.273907,0.440914,0.235772,0.402778,0.207484,0.440914,0.58222,0.012874,0.320502,0.525954,0.307628,0.51308,0.254888,0.525954,0.559405,60.507489,183.228088,183.390712,122.720599,122.883222,91.754428,183.390712,0.037526,6405.993877,19031.50689,20750.10327,12625.51302,14344.1094,10007.96526,20750.10327,7274.128723,0.018981,0.389044,0.472972,0.370063,0.453991,0.245886,0.472972,0.523407,Bad
-0.080415,0.44497,0.505249,0.525385,0.585664,0.300334,0.585664,0.133952,-3.449316,19.656744,25.833901,23.106061,29.283217,14.41998,29.283217,57.631261,-0.052903,0.207515,0.186953,0.260418,0.239856,0.131207,0.260418,0.616355,-0.034493,0.196567,0.258339,0.231061,0.292832,0.1442,0.292832,0.576313,-0.021798,0.217486,0.27637,0.239284,0.298167,0.151047,0.298167,0.577105,-10.302808,18.14437,13.606196,28.447177,23.909003,12.980665,28.447177,0.081742,-26.642114,2094.503559,2106.474564,2121.145673,2133.116677,1220.467092,2133.116677,938.507682,-0.04154,0.221356,0.258746,0.262896,0.300286,0.152304,0.300286,0.564398,Bad
-0.080415,0.44497,0.505249,0.525385,0.585664,0.300334,0.585664,0.133952,-3.449316,19.656744,25.833901,23.106061,29.283217,14.41998,29.283217,57.631261,-0.053614,0.204221,0.183659,0.257835,0.237273,0.129586,0.257835,0.614885,-0.034493,0.196567,0.258339,0.231061,0.292832,0.1442,0.292832,0.576313,-0.021798,0.217486,0.27637,0.239284,0.298167,0.151047,0.298167,0.577105,-8.409312,20.899394,16.344749,29.308707,24.754061,13.745183,29.308707,0.093517,51.835092,2200.645685,2231.693778,2148.810594,2179.858687,1264.783258,2231.693778,967.396981,-0.04154,0.221356,0.258746,0.262896,0.300286,0.152304,0.300286,0.564398,Bad
-0.093418,0.25015,0.310429,0.343567,0.403846,0.194172,0.403846,0.039792,-4.09292,9.922231,16.099387,14.015152,20.192308,9.204636,20.192308,52.924905,-0.074867,0.222185,0.260795,0.297052,0.335661,0.164667,0.335661,0.537465,-0.040929,0.099222,0.160994,0.140152,0.201923,0.092046,0.201923,0.529249,-0.025709,0.123293,0.182177,0.149002,0.207885,0.099136,0.207885,0.530986,-8.055837,6.077949,5.374808,14.133786,13.430645,6.527934,14.133786,0.110183,-296.949278,1136.084754,1134.534896,1433.034031,1431.484173,751.042206,1433.034031,470.0543,-0.048224,0.122878,0.160269,0.171103,0.208493,0.098849,0.208493,0.516831,Bad
-0.080233,0.155707,0.092844,0.23594,0.173077,0.103633,0.23594,0.127687,-4.09292,9.922231,4.560926,14.015152,8.653846,6.028141,14.015152,55.80952,-0.042632,0.141117,0.113454,0.183749,0.156086,0.088268,0.183749,0.551594,-0.040929,0.099222,0.045609,0.140152,0.086538,0.060281,0.140152,0.558095,-0.015368,0.07916,0.070302,0.094528,0.085671,0.04813,0.094528,0.576173,-3.858231,3.052709,1.622832,6.910939,5.481063,2.981697,6.910939,0.123759,-221.215403,482.728715,378.975125,703.944118,600.190528,328.140749,703.944118,207.137193,-0.045625,0.094478,0.043612,0.140103,0.089237,0.059923,0.140103,0.55621,Good
0.030901,0.690175,0.745548,0.659273,0.714646,0.406362,0.745548,0.128892,3.813585,24.632115,39.545908,20.81853,35.732323,18.524296,39.545908,60.048006,0.017965,0.400873,0.444523,0.382908,0.426557,0.239635,0.444523,0.578372,0.038136,0.246321,0.395459,0.208185,0.357323,0.185243,0.395459,0.60048,0.014065,0.280551,0.445491,0.266486,0.431425,0.216355,0.445491,0.588467,60.696635,187.688028,186.351055,126.991394,125.65442,93.788427,187.688028,0.212201,6407.42101,18950.5125,20655.51363,12543.09149,14248.09262,9958.54544,20655.51363,7335.046974,0.019245,0.344605,0.415214,0.32536,0.395969,0.215863,0.415214,0.549623,Bad
-0.049143,0.099203,0.132675,0.148345,0.181818,0.084678,0.181818,0.086992,3.740949,5.256101,12.831858,1.515152,9.090909,5.389885,12.831858,57.374631,-0.018011,0.085756,0.06327,0.103767,0.081281,0.049633,0.103767,0.54531,0.037409,0.052561,0.128319,0.015152,0.090909,0.053899,0.128319,0.573746,-0.061777,0.066316,0.108107,0.128093,0.169884,0.074675,0.169884,0.579946,7.090432,5.254396,6.611275,-1.836036,-0.479157,3.253634,7.090432,0.216965,733.981619,1119.912107,1255.631955,385.930488,521.650336,563.399284,1255.631955,442.407443,0.005133,0.044419,0.08132,0.039287,0.076188,0.037994,0.08132,0.509527,Bad
-0.077781,0.45089,0.385506,0.528671,0.463287,0.267141,0.528671,0.118929,-2.061545,21.802092,21.102791,23.863636,23.164336,13.011077,23.863636,57.045803,-0.053255,0.139323,0.100714,0.192578,0.153968,0.088823,0.192578,0.598397,-0.020615,0.218021,0.211028,0.238636,0.231643,0.130111,0.238636,0.570458,-0.034797,0.216718,0.213748,0.251515,0.248544,0.135064,0.251515,0.572347,0.957852,5.423025,5.044986,4.465173,4.087134,2.777348,5.423025,0.289625,420.348223,2053.608774,2104.522497,1633.260551,1684.174275,1092.763766,2104.522497,1077.384975,-0.034049,0.225417,0.205778,0.259466,0.239827,0.135259,0.259466,0.554976,Good
0.020617,0.273981,0.259642,0.253364,0.239024,0.148446,0.273981,0.121082,3.04878,44.605263,15,41.556483,11.95122,20.351431,44.605263,49.336489,0.007063,0.370707,0.335813,0.363644,0.32875,0.202438,0.370707,0.507001,0.030488,0.446053,0.15,0.415565,0.119512,0.203514,0.446053,0.493365,0.022917,0.071925,0.146682,0.049008,0.123765,0.064886,0.146682,0.586301,13.237077,104.480814,49.131509,91.243737,35.894432,46.71076,104.480814,0.290126,1808.539109,10477.39251,6767.33711,8668.853398,4958.798002,4763.984912,10477.39251,1817.218838,0.013397,0.444319,0.243705,0.430922,0.230308,0.211339,0.444319,0.454257,Bad
-0.006643,0.532861,0.553846,0.539505,0.56049,0.315751,0.56049,0.091522,-0.332168,34.045509,27.692308,34.377677,28.024476,18.105317,34.377677,52.725511,-0.001382,0.403711,0.3823,0.405094,0.383682,0.22747,0.405094,0.547275,-0.003322,0.340455,0.276923,0.343777,0.280245,0.181053,0.343777,0.527255,0.007868,0.206616,0.290055,0.198748,0.282187,0.145194,0.290055,0.566469,1.368137,138.857949,100.620146,137.489812,99.252009,70.48898,138.857949,0.310841,870.020095,12663.48876,10869.91418,11793.46867,9999.894086,6592.777687,12663.48876,3342.746873,-0.004946,0.343823,0.277014,0.348768,0.28196,0.182706,0.348768,0.524896,Bad
