@relation 'AlgoSelection-TrainSet (1)-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.lazy.IBk -K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"-C-1-F0-T0.1-I0-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R57-64-weka.filters.unsupervised.attribute.Remove-R49-56'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Recall_Avg numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute IR_Precision_Avg numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
0,0.964912,0.923077,0.964912,0.923077,0.545283,0.964912,0.528003,0,45.454545,46.153846,45.454545,46.153846,26.446606,46.153846,77.097902,0,0.471154,0.380178,0.471154,0.380178,0.248549,0.471154,0.787167,0,0.454545,0.461538,0.454545,0.461538,0.264466,0.461538,0.770979,0,0.460678,0.457516,0.460678,0.457516,0.265063,0.460678,0.770451,15.366323,74.156995,72.780821,58.790672,57.414498,38.500101,74.156995,27.69153,1536.632322,6615.905106,6639.635093,5079.272784,5103.00277,3440.64439,6639.635093,3128.713406,0,0.482927,0.472727,0.482927,0.472727,0.275905,0.482927,0.761086,Bad
0.005025,0.260158,0.252577,0.255134,0.247552,0.14661,0.260158,0.084676,0.506993,20.123842,12.884615,19.616849,12.377622,9.839004,20.123842,52.582676,0.004202,0.100986,0.071146,0.096784,0.066944,0.050014,0.100986,0.556833,0.00507,0.201238,0.128846,0.196168,0.123776,0.09839,0.201238,0.525827,0.013147,0.046074,0.138005,0.032926,0.124858,0.062227,0.138005,0.568386,4.748267,39.910512,24.773365,35.162245,20.025098,18.474387,39.910512,-2.192689,793.549306,5166.992695,4218.457238,4373.443389,3424.907932,2531.133416,5166.992695,1387.024251,0.001278,0.201628,0.132061,0.200349,0.130782,0.100075,0.201628,0.522082,Good
-0.017203,0.168152,0.229531,0.185355,0.246734,0.122562,0.246734,0.057488,-0.454852,8.035714,11.881868,8.490566,12.33672,6.089853,12.33672,53.170032,-0.012538,0.099919,0.134238,0.112457,0.146777,0.07276,0.146777,0.552206,-0.004549,0.080357,0.118819,0.084906,0.123367,0.060899,0.123367,0.5317,-0.009288,0.084099,0.118145,0.093387,0.127434,0.062741,0.127434,0.530512,-9.85387,-11.828279,-10.490347,-1.974409,-0.636477,5.424848,11.828279,-24.05192,-44.618063,1298.609519,1432.402735,1343.227582,1477.020798,803.321565,1477.020798,614.391244,-0.006552,0.085043,0.116293,0.091595,0.122845,0.061411,0.122845,0.52593,Bad
0.078208,0.475184,0.427859,0.396976,0.34965,0.241016,0.475184,0.105623,8.930008,24.081523,26.412526,15.151515,17.482517,12.57619,26.412526,57.710357,0.019598,0.215577,0.194423,0.195979,0.174825,0.113313,0.215577,0.548562,0.0893,0.240815,0.264125,0.151515,0.174825,0.125762,0.264125,0.577104,-0.019741,0.308995,0.318605,0.328736,0.338346,0.187086,0.338346,0.617768,1099,-14956,-18171,-16055,-19270,9977.086783,19270,-25174,2700,5200,5300,2500,2600,2507.322609,5300,1800,0.07101,0.219202,0.220712,0.148192,0.149702,0.11037,0.220712,0.524231,Bad
0.003001,0.990827,0.987052,0.987826,0.984051,0.570102,0.990827,0.369025,0.386739,45.495724,49.589291,45.108985,49.202552,27.388527,49.589291,69.581002,0.000739,0.605815,0.58863,0.605076,0.587892,0.344665,0.605815,0.689111,0.003867,0.454957,0.495893,0.45109,0.492026,0.273885,0.495893,0.69581,0.004167,0.436242,0.501455,0.432075,0.497287,0.270804,0.501455,0.699333,87.716433,20111.55846,14889.09689,20023.84202,14801.38045,10301.60546,20111.55846,-8347.718531,8817.913942,43646.01606,44193.37738,34828.10212,35375.46344,23094.92124,44193.37738,18592.61635,0.001497,0.497103,0.504803,0.495607,0.503306,0.288811,0.504803,0.681268,Bad
-0.033921,0.236883,0.167929,0.270804,0.20185,0.130479,0.270804,0.385551,-1.186679,13.896761,8.905836,15.08344,10.092515,7.234872,15.08344,69.019098,-0.015401,0.057439,0.083052,0.07284,0.098453,0.046627,0.098453,0.791375,-0.011867,0.138968,0.089058,0.150834,0.100925,0.072349,0.150834,0.690191,-0.001883,-0.068268,0.067008,-0.066385,0.068891,0.055232,0.135276,0.755025,11.067744,150.855312,128.90373,139.787568,117.835987,78.211118,150.855312,59.739372,2663.504231,15806.04143,15624.92965,13142.5372,12961.42542,8375.665454,15806.04143,8168.89187,-0.017904,0.165554,0.098436,0.183458,0.11634,0.086176,0.183458,0.676666,Bad
0.001902,0.911201,0.93929,0.909298,0.937387,0.533765,0.93929,0.422137,0.102108,53.010033,46.971477,52.907925,46.869369,28.937928,53.010033,69.24787,0.000755,0.522959,0.5641,0.522203,0.563345,0.314038,0.5641,0.716909,0.001021,0.5301,0.469715,0.529079,0.468694,0.289379,0.5301,0.692479,0.001165,0.345412,0.472756,0.344247,0.47159,0.241511,0.472756,0.738275,19.691855,489.599739,412.034135,469.907884,392.34228,256.682376,489.599739,117.0987,1971.248628,37130.7518,35605.56873,35159.50317,33634.3201,20453.44187,37130.7518,16371.87602,0.000949,0.534915,0.481542,0.533965,0.480593,0.293961,0.534915,0.688255,Bad
0.024769,0.212482,0.180194,0.187713,0.155425,0.107497,0.212482,0.144798,4.934334,-2.925101,12.70557,-7.859435,7.771236,6.836276,15.630672,62.475145,0.01041,0.118973,0.09235,0.108564,0.081941,0.059161,0.118973,0.558914,0.049343,-0.029251,0.127056,-0.078594,0.077712,0.068363,0.156307,0.624751,0.017433,-0.050964,0.09909,-0.068398,0.081657,0.062305,0.150054,0.635236,-6427.297153,7480.150866,-11810.39319,13907.44802,-5383.096033,8323.000841,19290.54405,-12343.4719,2725.737479,7630.822755,8586.499858,4905.085277,5860.76238,4069.283276,8586.499858,4087.143407,0.022126,0.099703,0.127018,0.077577,0.104891,0.06078,0.127018,0.555538,Bad
-0.007033,0.312994,0.303972,0.320027,0.311005,0.180194,0.320027,0.046225,-4.603074,16.502721,10.947166,21.105795,15.550239,9.710378,21.105795,49.972304,0.011352,0.184398,0.166854,0.173046,0.155502,0.098491,0.184398,0.523572,-0.046031,0.165027,0.109472,0.211058,0.155502,0.097104,0.211058,0.499723,0.027316,0.210033,0.246598,0.182717,0.219283,0.125326,0.246598,0.570944,-68635,-134976,-178953,-66341,-110318,78240.34868,178953,-150860,-2700,9600,7100,12300,9800,5798.275606,12300,2400,-0.018995,0.151491,0.100609,0.170486,0.119604,0.081339,0.170486,0.484507,Bad
-0.057323,0.715296,0.895915,0.772619,0.953238,0.487837,0.953238,0.300547,-2.701689,57.6417,44.960212,60.343389,47.661901,30.855965,60.343389,59.640329,-0.019403,0.407787,0.491857,0.42719,0.51126,0.267634,0.51126,0.720667,-0.027017,0.576417,0.449602,0.603434,0.476619,0.30856,0.603434,0.596403,-0.01444,0.219289,0.639326,0.233729,0.653765,0.304891,0.653765,0.649436,31.425001,316.699241,258.853236,285.274239,227.428235,159.358634,316.699241,85.603769,4322.955848,28099.83013,25743.49824,23776.87429,21420.5424,14435.91525,28099.83013,10787.21043,-0.029545,0.574531,0.559527,0.604077,0.589072,0.336176,0.604077,0.567349,Bad
-0.058008,0.94828,0.913396,1.006288,0.971405,0.554854,1.006288,0.393514,-2.621951,31.973684,45.948276,34.595635,48.570227,23.964643,48.570227,73.674998,-0.025048,0.486306,0.460654,0.511354,0.485702,0.280976,0.511354,0.695693,-0.02622,0.319737,0.459483,0.345956,0.485702,0.239646,0.485702,0.73675,-0.025434,0.268961,0.466752,0.294395,0.492186,0.234322,0.492186,0.748904,-20296,22922,-8130,43218,12166,18219.66974,43218,-39990,7200,41000,44600,33800,37400,22869.48476,44600,21000,-0.029022,0.478956,0.476604,0.507977,0.505626,0.284473,0.507977,0.690545,Bad
-0.025165,0.726208,0.815744,0.751373,0.840909,0.453978,0.840909,0.050184,-1.270187,44.560534,40.775268,45.830721,42.045455,25.054076,45.830721,50.440682,0.003414,0.3339,0.331251,0.330486,0.327836,0.191035,0.3339,0.5763,-0.012702,0.445605,0.407753,0.458307,0.420455,0.250541,0.458307,0.504407,0.007666,0.37036,0.435031,0.362694,0.427365,0.231813,0.435031,0.533569,20.383618,137.213339,106.935775,116.829721,86.552157,66.291932,137.213339,12.888258,2802.891215,14818.23738,13316.4566,12015.34616,10513.56538,7426.99648,14818.23738,4440.815979,-0.015246,0.443367,0.409058,0.458613,0.424304,0.250944,0.458613,0.502167,Good
0.000369,0.216736,0.276943,0.216367,0.276573,0.144512,0.276943,0.249584,2.132867,7.418445,15.961538,5.285578,13.828671,7.109308,15.961538,64.391018,-0.00286,0.163987,0.178623,0.166846,0.181482,0.099914,0.181482,0.682812,0.021329,0.074184,0.159615,0.052856,0.138287,0.071093,0.159615,0.64391,-0.009186,0.044584,0.163711,0.05377,0.172897,0.079503,0.172897,0.662898,22.624117,77.076774,39.193618,54.452657,16.569501,32.485373,77.076774,-78.61048,4161.41837,16713.14134,18707.25153,12551.72297,14545.83316,9218.239361,18707.25153,9699.133559,0.006295,0.104845,0.13357,0.09855,0.127275,0.068074,0.13357,0.618413,Bad
0.016921,0.315051,0.294433,0.298131,0.277512,0.171405,0.315051,0.137832,4.139816,6.611905,18.015414,2.472089,13.875598,7.714132,18.015414,60.82363,0.005011,0.134242,0.118391,0.129231,0.11338,0.071804,0.134242,0.604149,0.041398,0.066119,0.180154,0.024721,0.138756,0.077141,0.180154,0.608236,0.006636,0.133237,0.176128,0.1266,0.169491,0.089168,0.176128,0.597127,25.891803,23.197829,46.268904,-2.693974,20.3771,18.938705,46.268904,9.656121,3509.718166,6983.611502,9340.764527,3473.893336,5831.046361,4082.115874,9340.764527,4855.09534,0.017523,0.177579,0.222062,0.160056,0.204539,0.112021,0.222062,0.534834,Bad
0.00103,1.114533,1.115332,1.113503,1.114302,0.643409,1.115332,0.422473,0.053524,52.858012,55.768614,52.804487,55.71509,31.364879,55.768614,71.84182,0.000048,0.616339,0.613148,0.616291,0.6131,0.354911,0.616339,0.692178,0.000535,0.52858,0.557686,0.528045,0.557151,0.313649,0.557686,0.718418,0.000534,0.434996,0.561075,0.434463,0.560541,0.29196,0.561075,0.741042,23.995113,701.8122,611.848928,677.817087,587.853816,374.229959,701.8122,122.481137,2399.510029,46769.84554,46750.58826,44370.33551,44351.07823,26322.58027,46769.84554,21740.96724,0.000515,0.579394,0.564377,0.578879,0.563862,0.330087,0.579394,0.704026,Bad
-0.03581,0.540434,0.610654,0.576245,0.646465,0.344136,0.646465,0.059107,-2.219803,25.777411,30.10343,27.997214,32.323232,16.889268,32.323232,53.051807,-0.012395,0.41435,0.427069,0.426745,0.439464,0.246581,0.439464,0.563305,-0.022198,0.257774,0.301034,0.279972,0.323232,0.168893,0.323232,0.530518,0.006347,0.217382,0.333503,0.211034,0.327155,0.164208,0.333503,0.556695,3.739419,134.213985,119.813819,130.474567,116.074401,72.50688,134.213985,6.32843,1796.405993,12973.36862,13186.31245,11176.96263,11389.90646,7071.739602,13186.31245,5095.749455,-0.022883,0.284343,0.300513,0.307225,0.323395,0.175811,0.323395,0.522338,Bad
