@relation 'AlgoSelection-TrainSet (1)-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R32,40-48-weka.filters.unsupervised.attribute.Remove-R47-54'

@attribute Kappa_tr_vs_tr-x1 numeric
@attribute Kappa_tr_vs_te numeric
@attribute Kappa_tr_vs_te-x1 numeric
@attribute Kappa_tr-x1_vs_te numeric
@attribute Kappa_tr-x1_vs_te-x1 numeric
@attribute Kappa_StDev numeric
@attribute Kappa_Range numeric
@attribute Kappa_Avg numeric
@attribute PercCorrect_tr_vs_tr-x1 numeric
@attribute PercCorrect_tr_vs_te numeric
@attribute PercCorrect_tr_vs_te-x1 numeric
@attribute PercCorrect_tr-x1_vs_te numeric
@attribute PercCorrect_tr-x1_vs_te-x1 numeric
@attribute PercCorrect_StDev numeric
@attribute PercCorrect_Range numeric
@attribute PercCorrect_Avg numeric
@attribute Weighted_AreaUnderROC_tr_vs_tr-x1 numeric
@attribute Weighted_AreaUnderROC_tr_vs_te numeric
@attribute Weighted_AreaUnderROC_tr_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te numeric
@attribute Weighted_AreaUnderROC_tr-x1_vs_te-x1 numeric
@attribute Weighted_AreaUnderROC_StDev numeric
@attribute Weighted_AreaUnderROC_Range numeric
@attribute Weighted_AreaUnderROC_Avg numeric
@attribute IR_Recall_tr_vs_tr-x1 numeric
@attribute IR_Recall_tr_vs_te numeric
@attribute IR_Recall_tr_vs_te-x1 numeric
@attribute IR_Recall_tr-x1_vs_te numeric
@attribute IR_Recall_tr-x1_vs_te-x1 numeric
@attribute IR_Recall_StDev numeric
@attribute IR_Recall_Range numeric
@attribute IR_Precision_tr_vs_tr-x1 numeric
@attribute IR_Precision_tr_vs_te numeric
@attribute IR_Precision_tr_vs_te-x1 numeric
@attribute IR_Precision_tr-x1_vs_te numeric
@attribute IR_Precision_tr-x1_vs_te-x1 numeric
@attribute IR_Precision_StDev numeric
@attribute IR_Precision_Range numeric
@attribute SF_Entropy_Gain_tr_vs_tr-x1 numeric
@attribute SF_Entropy_Gain_tr_vs_te numeric
@attribute SF_Entropy_Gain_tr_vs_te-x1 numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te numeric
@attribute SF_Entropy_Gain_tr-x1_vs_te-x1 numeric
@attribute SF_Entropy_Gain_StDev numeric
@attribute SF_Entropy_Gain_Range numeric
@attribute SF_Entropy_Gain_Avg numeric
@attribute KB_Mean_Information_tr_vs_tr-x1 numeric
@attribute KB_Mean_Information_tr_vs_te numeric
@attribute KB_Mean_Information_tr_vs_te-x1 numeric
@attribute KB_Mean_Information_tr-x1_vs_te numeric
@attribute KB_Mean_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Mean_Information_StDev numeric
@attribute KB_Mean_Information_Range numeric
@attribute KB_Mean_Information_Avg numeric
@attribute KB_Relative_Information_tr_vs_tr-x1 numeric
@attribute KB_Relative_Information_tr_vs_te numeric
@attribute KB_Relative_Information_tr_vs_te-x1 numeric
@attribute KB_Relative_Information_tr-x1_vs_te numeric
@attribute KB_Relative_Information_tr-x1_vs_te-x1 numeric
@attribute KB_Relative_Information_StDev numeric
@attribute KB_Relative_Information_Range numeric
@attribute KB_Relative_Information_Avg numeric
@attribute Unweighted_Macro_F_tr_vs_tr-x1 numeric
@attribute Unweighted_Macro_F_tr_vs_te numeric
@attribute Unweighted_Macro_F_tr_vs_te-x1 numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te numeric
@attribute Unweighted_Macro_F_tr-x1_vs_te-x1 numeric
@attribute Unweighted_Macro_F_StDev numeric
@attribute Unweighted_Macro_F_Range numeric
@attribute Unweighted_Macro_F_Avg numeric
@attribute TargetLabel {Bad,Good}

@data
-0.00395,0.050016,0.071521,0.053966,0.075472,0.037309,0.075472,0.042125,0.690701,0.892857,4.464286,0.202156,3.773585,2.004994,4.464286,52.952325,-0.010595,0.063211,0.075637,0.073807,0.086233,0.043653,0.086233,0.508071,0.006907,0.008929,0.044643,0.002022,0.037736,0.02005,0.044643,-0.00243,0.018549,0.04087,0.020979,0.043301,0.02007,0.043301,0.311241,0.960667,1.224127,0.649427,0.912886,0.565889,1.224127,0.258155,0.002117,0.011084,0.020887,0.008967,0.018769,0.009541,0.020887,0.006853,31.670398,160.188602,186.534531,128.518204,154.864133,92.489851,186.534531,77.606265,0.002203,0.073614,0.092661,0.07141,0.090458,0.048006,0.092661,0.482475,Bad
-0.007927,0.027172,0.048677,0.035098,0.056604,0.025931,0.056604,0.031697,0.74124,0,3.571429,-0.74124,2.830189,1.698505,3.571429,52.493261,-0.010595,0.063211,0.075637,0.073807,0.086233,0.043653,0.086233,0.508071,0.007412,0,0.035714,-0.007412,0.028302,0.016985,0.035714,-0.005207,0.008073,0.030395,0.013281,0.035602,0.015701,0.035602,0.480035,0.782709,1.078513,0.302675,0.598479,0.460393,1.078513,0.263966,0.00379,0.004157,0.014757,0.000367,0.010967,0.006339,0.014757,0.008581,48.731268,131.402818,160.983223,82.67155,112.251955,74.087292,160.983223,74.404441,0.001948,0.053782,0.072829,0.051834,0.070881,0.036826,0.072829,0.472622,Bad
0.006194,0.060161,0.081666,0.053966,0.075472,0.040206,0.081666,0.044661,1.583558,1.785714,5.357143,0.202156,3.773585,2.262582,5.357143,53.175539,-0.01074,0.06449,0.076916,0.075231,0.087657,0.04443,0.087657,0.508747,0.015836,0.017857,0.053571,0.002022,0.037736,0.022626,0.053571,0.003217,0.031857,0.054178,0.02864,0.050962,0.025619,0.054178,0.656456,0.782053,1.133117,0.125598,0.476662,0.473702,1.133117,0.085437,0.00525,0.007687,0.020496,0.002437,0.015246,0.008705,0.020496,0.008336,65.665406,161.758407,196.864836,96.093002,131.19943,89.867082,196.864836,80.90845,0.008226,0.062908,0.081956,0.054682,0.07373,0.040343,0.081956,0.475616,Bad
0.006194,0.060161,0.081666,0.053966,0.075472,0.040206,0.081666,0.044661,1.583558,1.785714,5.357143,0.202156,3.773585,2.262582,5.357143,53.175539,-0.01074,0.06449,0.076916,0.075231,0.087657,0.04443,0.087657,0.508747,0.015836,0.017857,0.053571,0.002022,0.037736,0.022626,0.053571,0.003217,0.031857,0.054178,0.02864,0.050962,0.025619,0.054178,0.656456,0.782053,1.133117,0.125598,0.476662,0.473702,1.133117,0.085437,0.00525,0.007687,0.020496,0.002437,0.015246,0.008705,0.020496,0.008336,65.665406,161.758407,196.864836,96.093002,131.19943,89.867082,196.864836,80.90845,0.008226,0.062908,0.081956,0.054682,0.07373,0.040343,0.081956,0.475616,Bad
0.010802,0.384584,0.364998,0.373782,0.354196,0.213463,0.384584,0.097979,3.636364,6.243455,21.346154,2.607092,17.70979,9.382551,21.346154,59.693507,-0.00305,0.437722,0.416907,0.440773,0.419957,0.24774,0.440773,0.508931,0.036364,0.062435,0.213462,0.026071,0.177098,0.093826,0.213462,-0.004991,0.125752,0.262183,0.130743,0.267174,0.126382,0.267174,37.757601,80.384564,101.813464,42.626963,64.055863,45.307013,101.813464,3.851791,0.047022,0.152855,0.320202,0.105834,0.273181,0.141991,0.320202,0.103028,3933.336977,10586.81127,13024.89504,6653.474297,9091.558061,5986.575288,13024.89504,5232.226889,0.015586,0.18196,0.238492,0.166374,0.222906,0.119301,0.238492,0.517718,Bad
0.021261,0.651334,0.597018,0.630073,0.575758,0.35503,0.651334,0.052342,3.633642,20.023401,32.421521,16.38976,28.787879,15.045416,32.421521,57.038243,0.012788,0.467259,0.484471,0.454472,0.471683,0.271191,0.484471,0.509096,0.036336,0.200234,0.324215,0.163898,0.287879,0.150454,0.324215,0.013231,0.256935,0.446974,0.243704,0.433743,0.214012,0.446974,46.137765,124.978667,129.765723,78.840902,83.627958,63.126819,129.765723,11.187497,0.053098,0.26754,0.424351,0.214442,0.371253,0.1964,0.424351,0.072973,4824.503334,13107.58516,14440.10391,8283.081829,9615.600572,6870.504877,14440.10391,4893.909279,0.015755,0.331976,0.389223,0.316221,0.373468,0.205082,0.389223,0.497842,Good
0.020487,0.479323,0.439679,0.458836,0.419192,0.260018,0.479323,0.068443,2.525253,12.873563,23.484848,10.348311,20.959596,10.734039,23.484848,56.945751,0.019156,0.346956,0.355483,0.327799,0.336327,0.197432,0.355483,0.510054,0.025253,0.128736,0.234848,0.103483,0.209596,0.10734,0.234848,0.023438,0.166981,0.281544,0.143543,0.258106,0.131671,0.281544,23.953974,61.708334,72.437071,37.75436,48.483096,33.565792,72.437071,11.453135,0.028431,0.109536,0.22947,0.081105,0.20104,0.102811,0.22947,0.08766,3010.794341,7979.136425,9433.458103,4968.342084,6422.663762,4375.801992,9433.458103,3888.038633,0.011564,0.243998,0.28384,0.232434,0.272276,0.149995,0.28384,0.516806,Good
0.021874,0.176152,0.191066,0.154279,0.169192,0.100276,0.191066,0.025611,9.220952,-2.625095,17.680548,-11.846047,8.459596,9.258922,20.305643,58.202356,0.012557,0.219843,0.292666,0.207286,0.280109,0.147443,0.292666,0.510831,0.09221,-0.026251,0.176805,-0.11846,0.084596,0.092589,0.203056,0.01675,0.22972,0.467732,0.21297,0.450982,0.21932,0.467732,32.823689,9.949971,28.780298,-22.873718,-4.043391,15.54252,32.823689,6.417306,0.059301,-0.021322,0.113613,-0.080623,0.054312,0.060921,0.134935,0.064039,3418.651412,3319.795267,5209.805654,-98.856145,1791.154242,2172.564505,5209.805654,2119.997284,0.041292,0.089417,0.172414,0.048124,0.131121,0.074063,0.172414,0.414462,Good
0.021874,0.176152,0.191066,0.154279,0.169192,0.100276,0.191066,0.025611,9.220952,-2.625095,17.680548,-11.846047,8.459596,9.258922,20.305643,58.202356,0.012557,0.219843,0.292666,0.207286,0.280109,0.147443,0.292666,0.510831,0.09221,-0.026251,0.176805,-0.11846,0.084596,0.092589,0.203056,0.01675,0.22972,0.467732,0.21297,0.450982,0.21932,0.467732,32.823689,9.949971,28.780298,-22.873718,-4.043391,15.54252,32.823689,6.417306,0.059301,-0.021322,0.113613,-0.080623,0.054312,0.060921,0.134935,0.064039,3418.651412,3319.795267,5209.805654,-98.856145,1791.154242,2172.564505,5209.805654,2119.997284,0.041292,0.089417,0.172414,0.048124,0.131121,0.074063,0.172414,0.414462,Good
0.021874,0.176152,0.191066,0.154279,0.169192,0.100276,0.191066,0.025611,9.220952,-2.625095,17.680548,-11.846047,8.459596,9.258922,20.305643,58.202356,0.012557,0.219843,0.292666,0.207286,0.280109,0.147443,0.292666,0.510831,0.09221,-0.026251,0.176805,-0.11846,0.084596,0.092589,0.203056,0.01675,0.22972,0.467732,0.21297,0.450982,0.21932,0.467732,32.823689,9.949971,28.780298,-22.873718,-4.043391,15.54252,32.823689,6.417306,0.059301,-0.021322,0.113613,-0.080623,0.054312,0.060921,0.134935,0.064039,3418.651412,3319.795267,5209.805654,-98.856145,1791.154242,2172.564505,5209.805654,2119.997284,0.041292,0.089417,0.172414,0.048124,0.131121,0.074063,0.172414,0.414462,Good
