KB_Relative_Information_StDev,PercCorrect_tr-x1_vs_te-x1,Kappa_tr_vs_te-x1,KB_Relative_Information_tr-x1_vs_te-x1,Kappa_tr_vs_tr-x1,Kappa_tr-x1_vs_te-x1,IR_Recall_tr-x1_vs_te-x1,IR_Precision_Avg,IR_Recall_Avg,IR_Recall_tr_vs_te-x1,PercCorrect_tr_vs_te-x1,KB_Relative_Information_Avg,KB_Relative_Information_tr_vs_te-x1,Unweighted_Macro_F_tr_vs_tr-x1,PercCorrect_Avg,SF_Entropy_Gain_tr_vs_tr-x1,IR_Recall_tr_vs_te,PercCorrect_tr_vs_te,KB_Relative_Information_Range,Kappa_Avg,Unweighted_Macro_F_tr_vs_te,Unweighted_Macro_F_tr-x1_vs_te-x1,Unweighted_Macro_F_tr-x1_vs_te,PercCorrect_tr_vs_tr-x1,PercCorrect_StDev,IR_Recall_tr_vs_tr-x1,KB_Relative_Information_tr_vs_te,KB_Relative_Information_tr-x1_vs_te,Kappa_Range,Unweighted_Macro_F_StDev,Unweighted_Macro_F_tr_vs_te-x1,IR_Precision_StDev,PercCorrect_Range,Kappa_tr_vs_te,IR_Recall_StDev,KB_Mean_Information_Avg,Unweighted_Macro_F_Avg,SF_Entropy_Gain_tr-x1_vs_te-x1,Kappa_StDev,IR_Recall_Range,IR_Precision_tr_vs_tr-x1,PercCorrect_tr-x1_vs_te,Kappa_tr-x1_vs_te,KB_Relative_Information_tr_vs_tr-x1,IR_Precision_Range,Weighted_AreaUnderROC_tr_vs_te,IR_Recall_tr-x1_vs_te,Weighted_AreaUnderROC_tr_vs_tr-x1,SF_Entropy_Gain_Range,Unweighted_Macro_F_Range,Weighted_AreaUnderROC_StDev,SF_Entropy_Gain_tr_vs_te,IR_Precision_tr_vs_te-x1,SF_Entropy_Gain_StDev,SF_Entropy_Gain_tr_vs_te-x1,Weighted_AreaUnderROC_tr-x1_vs_te,KB_Mean_Information_Range,IR_Precision_tr-x1_vs_te-x1,KB_Mean_Information_StDev,SF_Entropy_Gain_Avg,KB_Mean_Information_tr_vs_te-x1,Weighted_AreaUnderROC_tr_vs_te-x1,Weighted_AreaUnderROC_Avg,SF_Entropy_Gain_tr-x1_vs_te,KB_Mean_Information_tr_vs_te,KB_Mean_Information_tr-x1_vs_te-x1,Weighted_AreaUnderROC_tr-x1_vs_te-x1,Weighted_AreaUnderROC_Range,KB_Mean_Information_tr-x1_vs_te,KB_Mean_Information_tr_vs_tr-x1,IR_Precision_tr_vs_te,IR_Precision_tr-x1_vs_te,TargetLabel
3440.64439,46.153846,0.923077,5103.00277,0,0.923077,0.461538,0.770451,0.770979,0.461538,46.153846,3128.713406,6639.635093,0,77.097902,15.366323,0.454545,45.454545,6639.635093,0.528003,0.482927,0.472727,0.482927,0,26.446606,0,6615.905106,5079.272784,0.964912,0.275905,0.472727,0.265063,46.153846,0.964912,0.264466,0.335288,0.761086,57.414498,0.545283,0.461538,0,45.454545,0.964912,1536.632322,0.460678,0.471154,0.454545,0,74.156995,0.482927,0.248549,74.156995,0.457516,38.500101,72.780821,0.471154,0.540243,0.457516,0.308736,27.69153,0.532168,0.380178,0.787167,58.790672,0.540243,0.529181,0.380178,0.471154,0.537256,0.002987,0.460678,0.460678,Bad
2531.133416,12.377622,0.252577,3424.907932,0.005025,0.247552,0.123776,0.568386,0.525827,0.128846,12.884615,1387.024251,4218.457238,0.001278,52.582676,4.748267,0.201238,20.123842,5166.992695,0.084676,0.201628,0.130782,0.200349,0.506993,9.839004,0.00507,5166.992695,4373.443389,0.260158,0.100075,0.132061,0.062227,20.123842,0.260158,0.09839,0.013674,0.522082,20.025098,0.14661,0.201238,0.013147,19.616849,0.255134,793.549306,0.138005,0.100986,0.196168,0.004202,39.910512,0.201628,0.050014,39.910512,0.138005,18.474387,24.773365,0.096784,0.140282,0.124858,0.070707,-2.192689,0.103177,0.071146,0.556833,35.162245,0.140282,0.098889,0.066944,0.100986,0.135994,0.004288,0.046074,0.032926,Good
803.321565,12.33672,0.229531,1477.020798,-0.017203,0.246734,0.123367,0.530512,0.5317,0.118819,11.881868,614.391244,1432.402735,-0.006552,53.170032,-9.85387,0.080357,8.035714,1477.020798,0.057488,0.085043,0.122845,0.091595,-0.454852,6.089853,-0.004549,1298.609519,1343.227582,0.246734,0.061411,0.116293,0.062741,12.33672,0.168152,0.060899,0.044882,0.52593,-0.636477,0.122562,0.123367,-0.009288,8.490566,0.185355,-44.618063,0.127434,0.099919,0.084906,-0.012538,11.828279,0.122845,0.07276,-11.828279,0.118145,5.424848,-10.490347,0.112457,0.181842,0.127434,0.089582,-24.05192,0.171133,0.134238,0.552206,-1.974409,0.119328,0.181842,0.146777,0.146777,0.130036,-0.010709,0.084099,0.093387,Bad
17975.75695,38.383838,0.771506,26557.47846,-0.008907,0.780413,0.390065,0.656655,0.635529,0.394529,39.452912,14035.59261,34665.25944,-0.003914,63.397275,-9567.166596,0.364278,36.427834,34665.25944,0.268911,0.374805,0.389941,0.378718,1.069074,21.635955,0.004464,34647.59654,26539.81556,0.780413,0.220816,0.386027,0.200671,39.452912,0.702325,0.218118,0.269576,0.628322,-15814.14203,0.428976,0.394529,-0.000398,35.35876,0.711232,8107.780983,0.394439,0.38318,0.359814,0.027932,30015.82407,0.389941,0.222552,4634.515446,0.394041,13260.04271,-25381.30863,0.355248,0.811312,0.394439,0.445675,-70343.85086,0.811312,0.413486,0.625725,14201.68204,0.753161,0.788163,0.385555,0.413486,0.730012,0.023149,0.282607,0.283005,Good
2507.322609,17.482517,0.427859,2600,0.078208,0.34965,0.174825,0.617768,0.577104,0.264125,26.412526,1800,5300,0.07101,57.710357,1099,0.240815,24.081523,5300,0.105623,0.219202,0.149702,0.148192,8.930008,12.57619,0.0893,5200,2500,0.475184,0.11037,0.220712,0.187086,26.412526,0.475184,0.125762,0.154207,0.524231,-19270,0.241016,0.264125,-0.019741,15.151515,0.396976,2700,0.338346,0.215577,0.151515,0.019598,19270,0.220712,0.113313,-14956,0.318605,9977.086783,-18171,0.195979,0.528251,0.338346,0.251524,-25174,0.528251,0.194423,0.548562,-16055,0.48163,0.34965,0.174825,0.215577,0.30303,0.1786,0.308995,0.328736,Bad
23094.92124,49.202552,0.987052,35375.46344,0.003001,0.984051,0.492026,0.699333,0.69581,0.495893,49.589291,18592.61635,44193.37738,0.001497,69.581002,87.716433,0.454957,45.495724,44193.37738,0.369025,0.497103,0.503306,0.495607,0.386739,27.388527,0.003867,43646.01606,34828.10212,0.990827,0.288811,0.504803,0.270804,49.589291,0.990827,0.273885,0.364444,0.681268,14801.38045,0.570102,0.495893,0.004167,45.108985,0.987826,8817.913942,0.501455,0.605815,0.45109,0.000739,20111.55846,0.504803,0.344665,20111.55846,0.501455,10301.60546,14889.09689,0.605076,0.949836,0.497287,0.524483,-8347.718531,0.949836,0.58863,0.689111,20023.84202,0.875826,0.937941,0.587892,0.605815,0.863931,0.011895,0.436242,0.432075,Bad
8375.665454,10.092515,0.167929,12961.42542,-0.033921,0.20185,0.100925,0.755025,0.690191,0.089058,8.905836,8168.89187,15624.92965,-0.017904,69.019098,11.067744,0.138968,13.896761,15806.04143,0.385551,0.165554,0.11634,0.183458,-1.186679,7.234872,-0.011867,15806.04143,13142.5372,0.270804,0.086176,0.098436,0.055232,15.08344,0.236883,0.072349,0.226392,0.676666,117.835987,0.130479,0.150834,-0.001883,15.08344,0.270804,2663.504231,0.135276,0.057439,0.150834,-0.015401,150.855312,0.183458,0.046627,150.855312,0.067008,78.211118,128.90373,0.07284,0.283851,0.068891,0.132158,59.739372,0.136944,0.083052,0.791375,139.787568,0.262689,0.158105,0.098453,0.098453,0.283851,-0.021161,-0.068268,-0.066385,Bad
20453.44187,46.869369,0.93929,33634.3201,0.001902,0.937387,0.468694,0.738275,0.692479,0.469715,46.971477,16371.87602,35605.56873,0.000949,69.24787,19.691855,0.5301,53.010033,37130.7518,0.422137,0.534915,0.480593,0.533965,0.102108,28.937928,0.001021,37130.7518,35159.50317,0.93929,0.293961,0.481542,0.241511,53.010033,0.911201,0.289379,0.290235,0.688255,392.34228,0.533765,0.5301,0.001165,52.907925,0.909298,1971.248628,0.472756,0.522959,0.529079,0.000755,489.599739,0.534915,0.314038,489.599739,0.472756,256.682376,412.034135,0.522203,0.838257,0.47159,0.463528,117.0987,0.767907,0.5641,0.716909,469.907884,0.838257,0.764358,0.563345,0.5641,0.834708,0.003548,0.345412,0.344247,Bad
4069.283276,7.771236,0.180194,5860.76238,0.024769,0.155425,0.077712,0.635236,0.624751,0.127056,12.70557,4087.143407,8586.499858,0.022126,62.475145,-6427.297153,-0.029251,-2.925101,8586.499858,0.144798,0.099703,0.104891,0.077577,4.934334,6.836276,0.049343,7630.822755,4905.085277,0.212482,0.06078,0.127018,0.062305,15.630672,0.212482,0.068363,0.109392,0.555538,-5383.096033,0.107497,0.156307,0.017433,-7.859435,0.187713,2725.737479,0.150054,0.118973,-0.078594,0.01041,19290.54405,0.127018,0.059161,7480.150866,0.09909,8323.000841,-11810.39319,0.108564,0.128911,0.081657,0.060135,-12343.4719,0.128911,0.09235,0.558914,13907.44802,0.091245,0.107951,0.081941,0.118973,0.070285,0.02096,-0.050964,-0.068398,Bad
5798.275606,15.550239,0.303972,9800,-0.007033,0.311005,0.155502,0.570944,0.499723,0.109472,10.947166,2400,7100,-0.018995,49.972304,-68635,0.165027,16.502721,12300,0.046225,0.151491,0.119604,0.170486,-4.603074,9.710378,-0.046031,9600,12300,0.320027,0.081339,0.100609,0.125326,21.105795,0.312994,0.097104,-0.000554,0.484507,-110318,0.180194,0.211058,0.027316,21.105795,0.320027,-2700,0.246598,0.184398,0.211058,0.011352,178953,0.170486,0.098491,-134976,0.246598,78240.34868,-178953,0.173046,0.422116,0.219283,0.194208,-150860,0.218943,0.166854,0.523572,-66341,0.330054,0.311005,0.155502,0.184398,0.422116,-0.092061,0.210033,0.182717,Bad
