KB_Relative_Information_tr_vs_tr-x1,KB_Relative_Information_tr_vs_te,KB_Relative_Information_tr-x1_vs_te,KB_Relative_Information_tr-x1_vs_te-x1,KB_Relative_Information_tr_vs_te-x1,KB_Relative_Information_Range,KB_Relative_Information_Avg,KB_Relative_Information_StDev,Kappa_tr-x1_vs_te,Kappa_tr_vs_te,Kappa_tr_vs_tr-x1,Kappa_tr-x1_vs_te-x1,Kappa_tr_vs_te-x1,Kappa_Range,Kappa_Avg,Kappa_StDev,IR_Recall_tr-x1_vs_te-x1,IR_Recall_tr_vs_te-x1,IR_Recall_tr_vs_tr-x1,IR_Recall_tr_vs_te,IR_Recall_tr-x1_vs_te,IR_Recall_Range,IR_Recall_StDev,IR_Recall_Avg,PercCorrect_tr_vs_tr-x1,PercCorrect_tr-x1_vs_te-x1,PercCorrect_tr_vs_te-x1,PercCorrect_tr-x1_vs_te,PercCorrect_tr_vs_te,PercCorrect_Range,PercCorrect_Avg,PercCorrect_StDev,Unweighted_Macro_F_tr_vs_tr-x1,Unweighted_Macro_F_tr_vs_te-x1,Unweighted_Macro_F_tr_vs_te,Unweighted_Macro_F_tr-x1_vs_te-x1,Unweighted_Macro_F_tr-x1_vs_te,Unweighted_Macro_F_Range,Unweighted_Macro_F_Avg,Unweighted_Macro_F_StDev,IR_Precision_tr_vs_te,IR_Precision_tr_vs_te-x1,IR_Precision_tr-x1_vs_te,IR_Precision_tr-x1_vs_te-x1,IR_Precision_tr_vs_tr-x1,IR_Precision_Range,IR_Precision_StDev,IR_Precision_Avg,SF_Entropy_Gain_tr_vs_te,SF_Entropy_Gain_tr-x1_vs_te,SF_Entropy_Gain_tr_vs_te-x1,SF_Entropy_Gain_tr-x1_vs_te-x1,SF_Entropy_Gain_tr_vs_tr-x1,SF_Entropy_Gain_Range,SF_Entropy_Gain_Avg,SF_Entropy_Gain_StDev,KB_Mean_Information_tr_vs_te,KB_Mean_Information_tr-x1_vs_te-x1,KB_Mean_Information_tr_vs_tr-x1,KB_Mean_Information_tr-x1_vs_te,KB_Mean_Information_tr_vs_te-x1,KB_Mean_Information_Range,KB_Mean_Information_Avg,KB_Mean_Information_StDev,Weighted_AreaUnderROC_tr_vs_te-x1,Weighted_AreaUnderROC_tr_vs_tr-x1,Weighted_AreaUnderROC_tr-x1_vs_te,Weighted_AreaUnderROC_tr-x1_vs_te-x1,Weighted_AreaUnderROC_tr_vs_te,Weighted_AreaUnderROC_Range,Weighted_AreaUnderROC_Avg,Weighted_AreaUnderROC_StDev,TargetLabel
1536.63232,6615.90511,5079.27278,5103.00277,6639.63509,6639.63509,3128.71341,3440.64439,0.96491,0.96491,0,0.92308,0.92308,0.96491,0.528,0.54528,0.46154,0.46154,0,0.45454,0.45454,0.46154,0.26447,0.77098,0,46.15385,46.15385,45.45454,45.45454,46.15385,77.0979,26.44661,0,0.47273,0.48293,0.47273,0.48293,0.48293,0.76109,0.2759,0.46068,0.45752,0.46068,0.45752,0,0.46068,0.26506,0.77045,74.157,58.79067,72.78082,57.4145,15.36632,74.157,27.69153,38.5001,0.54024,0.52918,0.00299,0.53726,0.53217,0.54024,0.33529,0.30874,0.38018,0,0.47115,0.38018,0.47115,0.47115,0.78717,0.24855,Bad
793.54931,5166.9927,4373.44339,3424.90793,4218.45724,5166.9927,1387.02425,2531.13342,0.25513,0.26016,0.00502,0.24755,0.25258,0.26016,0.08468,0.14661,0.12378,0.12885,0.00507,0.20124,0.19617,0.20124,0.09839,0.52583,0.50699,12.37762,12.88462,19.61685,20.12384,20.12384,52.58268,9.839,0.00128,0.13206,0.20163,0.13078,0.20035,0.20163,0.52208,0.10008,0.04607,0.138,0.03293,0.12486,0.01315,0.138,0.06223,0.56839,39.91051,35.16224,24.77336,20.0251,4.74827,39.91051,-2.19269,18.47439,0.14028,0.09889,0.00429,0.13599,0.10318,0.14028,0.01367,0.07071,0.07115,0.0042,0.09678,0.06694,0.10099,0.10099,0.55683,0.05001,Good
-44.61806,1298.60952,1343.22758,1477.0208,1432.40274,1477.0208,614.39124,803.32156,0.18536,0.16815,-0.0172,0.24673,0.22953,0.24673,0.05749,0.12256,0.12337,0.11882,-0.00455,0.08036,0.08491,0.12337,0.0609,0.5317,-0.45485,12.33672,11.88187,8.49057,8.03571,12.33672,53.17003,6.08985,-0.00655,0.11629,0.08504,0.12284,0.0916,0.12284,0.52593,0.06141,0.0841,0.11814,0.09339,0.12743,-0.00929,0.12743,0.06274,0.53051,-11.82828,-1.97441,-10.49035,-0.63648,-9.85387,11.82828,-24.05192,5.42485,0.11933,0.18184,-0.01071,0.13004,0.17113,0.18184,0.04488,0.08958,0.13424,-0.01254,0.11246,0.14678,0.09992,0.14678,0.55221,0.07276,Bad
8107.78098,34647.59654,26539.81556,26557.47846,34665.25944,34665.25944,14035.59261,17975.75695,0.71123,0.70232,-0.00891,0.78041,0.77151,0.78041,0.26891,0.42898,0.39006,0.39453,0.00446,0.36428,0.35981,0.39453,0.21812,0.63553,1.06907,38.38384,39.45291,35.35876,36.42783,39.45291,63.39728,21.63596,-0.00391,0.38603,0.3748,0.38994,0.37872,0.38994,0.62832,0.22082,0.28261,0.39404,0.283,0.39444,-0.0004,0.39444,0.20067,0.65666,4634.51545,14201.68204,-25381.30863,-15814.14203,-9567.1666,30015.82407,-70343.85086,13260.04271,0.75316,0.78816,0.02315,0.73001,0.81131,0.81131,0.26958,0.44568,0.41349,0.02793,0.35525,0.38556,0.38318,0.41349,0.62572,0.22255,Good
2700,5200,2500,2600,5300,5300,1800,2507.32261,0.39698,0.47518,0.07821,0.34965,0.42786,0.47518,0.10562,0.24102,0.17482,0.26412,0.0893,0.24082,0.15152,0.26412,0.12576,0.5771,8.93001,17.48252,26.41253,15.15152,24.08152,26.41253,57.71036,12.57619,0.07101,0.22071,0.2192,0.1497,0.14819,0.22071,0.52423,0.11037,0.309,0.3186,0.32874,0.33835,-0.01974,0.33835,0.18709,0.61777,-14956,-16055,-18171,-19270,1099,19270,-25174,9977.08678,0.48163,0.34965,0.1786,0.30303,0.52825,0.52825,0.15421,0.25152,0.19442,0.0196,0.19598,0.17482,0.21558,0.21558,0.54856,0.11331,Bad
8817.91394,43646.01606,34828.10212,35375.46344,44193.37738,44193.37738,18592.61635,23094.92124,0.98783,0.99083,0.003,0.98405,0.98705,0.99083,0.36902,0.5701,0.49203,0.49589,0.00387,0.45496,0.45109,0.49589,0.27388,0.69581,0.38674,49.20255,49.58929,45.10898,45.49572,49.58929,69.581,27.38853,0.0015,0.5048,0.4971,0.50331,0.49561,0.5048,0.68127,0.28881,0.43624,0.50146,0.43208,0.49729,0.00417,0.50146,0.2708,0.69933,20111.55846,20023.84202,14889.09689,14801.38045,87.71643,20111.55846,-8347.71853,10301.60546,0.87583,0.93794,0.0119,0.86393,0.94984,0.94984,0.36444,0.52448,0.58863,0.00074,0.60508,0.58789,0.60582,0.60582,0.68911,0.34466,Bad
2663.50423,15806.04143,13142.5372,12961.42542,15624.92965,15806.04143,8168.89187,8375.66545,0.2708,0.23688,-0.03392,0.20185,0.16793,0.2708,0.38555,0.13048,0.10092,0.08906,-0.01187,0.13897,0.15083,0.15083,0.07235,0.69019,-1.18668,10.09252,8.90584,15.08344,13.89676,15.08344,69.0191,7.23487,-0.0179,0.09844,0.16555,0.11634,0.18346,0.18346,0.67667,0.08618,-0.06827,0.06701,-0.06638,0.06889,-0.00188,0.13528,0.05523,0.75502,150.85531,139.78757,128.90373,117.83599,11.06774,150.85531,59.73937,78.21112,0.26269,0.1581,-0.02116,0.28385,0.13694,0.28385,0.22639,0.13216,0.08305,-0.0154,0.07284,0.09845,0.05744,0.09845,0.79138,0.04663,Bad
1971.24863,37130.7518,35159.50317,33634.3201,35605.56873,37130.7518,16371.87602,20453.44187,0.9093,0.9112,0.0019,0.93739,0.93929,0.93929,0.42214,0.53376,0.46869,0.46972,0.00102,0.5301,0.52908,0.5301,0.28938,0.69248,0.10211,46.86937,46.97148,52.90792,53.01003,53.01003,69.24787,28.93793,0.00095,0.48154,0.53492,0.48059,0.53396,0.53492,0.68826,0.29396,0.34541,0.47276,0.34425,0.47159,0.00116,0.47276,0.24151,0.73828,489.59974,469.90788,412.03414,392.34228,19.69186,489.59974,117.0987,256.68238,0.83826,0.76436,0.00355,0.83471,0.76791,0.83826,0.29024,0.46353,0.5641,0.00076,0.5222,0.56334,0.52296,0.5641,0.71691,0.31404,Bad
2725.73748,7630.82276,4905.08528,5860.76238,8586.49986,8586.49986,4087.14341,4069.28328,0.18771,0.21248,0.02477,0.15542,0.18019,0.21248,0.1448,0.1075,0.07771,0.12706,0.04934,-0.02925,-0.07859,0.15631,0.06836,0.62475,4.93433,7.77124,12.70557,-7.85944,-2.9251,15.63067,62.47514,6.83628,0.02213,0.12702,0.0997,0.10489,0.07758,0.12702,0.55554,0.06078,-0.05096,0.09909,-0.0684,0.08166,0.01743,0.15005,0.0623,0.63524,7480.15087,13907.44802,-11810.39319,-5383.09603,-6427.29715,19290.54405,-12343.4719,8323.00084,0.09124,0.10795,0.02096,0.07028,0.12891,0.12891,0.10939,0.06014,0.09235,0.01041,0.10856,0.08194,0.11897,0.11897,0.55891,0.05916,Bad
-2700,9600,12300,9800,7100,12300,2400,5798.27561,0.32003,0.31299,-0.00703,0.311,0.30397,0.32003,0.04622,0.18019,0.1555,0.10947,-0.04603,0.16503,0.21106,0.21106,0.0971,0.49972,-4.60307,15.55024,10.94717,21.1058,16.50272,21.1058,49.9723,9.71038,-0.019,0.10061,0.15149,0.1196,0.17049,0.17049,0.48451,0.08134,0.21003,0.2466,0.18272,0.21928,0.02732,0.2466,0.12533,0.57094,-134976,-66341,-178953,-110318,-68635,178953,-150860,78240.34868,0.33005,0.311,-0.09206,0.42212,0.21894,0.42212,-0.00055,0.19421,0.16685,0.01135,0.17305,0.1555,0.1844,0.1844,0.52357,0.09849,Bad
